videoID,timeadjusted,originalsamples,adjustedsamples,start_time_analysiswindow,end_time_analysiswindow,perc_twopersonsdetected,average_com_movementp1,average_com_movementp2,smoothness_distancecom,SPARC_smoothness_distancecom,smoothness_distancecentroid,smoothness_xy_average_com_p1,smoothness_xy_average_com_p2,smoothness_xy_average_centroid_p1,smoothness_xy_average_centroid_p2,smoothness_p1_proximity,smoothness_p2_proximity
point_11_2_kam_5_chair,TRUE - Adjusted to start at + 27.54With a window length of: 100 seconds,24394,5000,27.54,127.53999999999999,0.934615069279331,26.511891806005906,51.80004458108989,45.71546975817488,-1405.1927955320432,41.185778669001714,41.637243985404524,43.58220287481855,41.8137287129904,43.00665531175297,43.935853031452744,45.549586732600034
point_11_3_kam_5_chair,TRUE - Adjusted to start at + 14.5With a window length of: 100 seconds,33430,5001,14.5,114.5,0.9315285671552498,23.182109685885592,44.31617465653577,41.349385985011786,-1269.3220226573007,41.97441066372569,41.64987645214915,40.96070020470332,43.61674886549837,43.90134641508503,41.81010152665197,40.34178651671469
point_11_4_kam_5_chair,TRUE - Adjusted to start at + 40.0With a window length of: 100 seconds,19786,5001,40.0,140.0,0.8849691701202871,27.02267504117235,44.603364032508686,41.7302056638785,-1341.861402505991,44.403171628878745,40.151671792169225,40.404839177645755,40.31180609364837,39.12500690136417,40.515455847943045,43.098140338497274
point_11_5_kam_5_chair,TRUE - Adjusted to start at + 16.2With a window length of: 100 seconds,23721,5001,16.2,116.2,0.8507651448083976,27.52618633158132,50.59836088299043,40.61335098379352,-1426.7192181143896,40.30546367946576,42.66332701295749,41.62569274525033,42.33930748435378,42.201805281482365,45.76818192562139,40.970833893888724
point_11_6_kam_5_chair,TRUE - Adjusted to start at + 20.0With a window length of: 100 seconds,26245,5001,20.0,120.0,0.8678986473614022,28.716259208999517,42.512912852613184,43.16666944087302,-1354.2874323990702,41.09358769729346,44.01890174038569,42.86955446546406,42.91795197294545,42.608974745534134,47.04659220008733,41.84730973093604
point_11_7_kam_5_chair,TRUE - Adjusted to start at + 7.4With a window length of: 100 seconds,13473,5001,7.4,107.4,0.8600163289542047,28.723703211549992,52.68152176018952,40.52104678200954,-1127.4259372007289,43.5143765407227,41.01247514181112,38.91838093241425,42.37239074277951,38.0675656674499,38.65805603481305,41.4187964558891
point_12_1_kam_5_chair,TRUE - Adjusted to start at + 15.0With a window length of: 100 seconds,23610,5001,15.0,115.0,0.9867852604828462,17.83477528074815,37.50260331583666,44.80039292928772,-1394.5228761239357,39.67697292339592,40.61924789372249,43.1710668863278,40.384390631059134,43.0531485225289,43.38095694548701,42.804337723268375
point_12_2_kam_5_chair,TRUE - Adjusted to start at + 27.3With a window length of: 100 seconds,21702,5001,27.3,127.3,0.996820569532762,17.38972363596719,47.52232528418742,42.767895229830145,-1359.3129289744556,40.53741908126648,45.28495128399295,42.92149052129152,40.6345710833295,41.99202344269271,45.30742566226778,42.51490182940452
point_12_3_kam_5_chair,TRUE - Adjusted to start at + 23.5With a window length of: 100 seconds,28338,5001,23.5,123.5,0.9893782200578728,14.442856913699993,27.725437270294417,41.562550745190435,-1419.7728082799122,43.75672954831964,42.301516791437024,41.555297115177325,42.360378718175994,41.59273663516153,43.010104564475256,42.63984044907232
point_12_4_kam_5_chair,TRUE - Adjusted to start at + 23.0With a window length of: 100 seconds,27376,5001,23.0,123.0,0.9842928112215079,14.085941705908674,28.40257777152948,42.572314253803114,-1212.1324098097157,40.17692193846071,44.356319742621935,44.43436804333773,42.356712579932406,42.4776623238707,45.78149245680369,42.277839755591806
point_12_5_kam_5_chair,TRUE - Adjusted to start at + 14.0With a window length of: 100 seconds,16395,5001,14.0,114.0,0.9851174138456846,16.395129658910125,38.32687929560633,46.78519476772616,-1330.0162235080904,42.97316161197399,48.63608199704687,50.41716906381084,46.39105824756871,43.50093635456939,44.62937245268213,43.91347515149179
point_12_6_kam_5_chair,TRUE - Adjusted to start at + 11.0With a window length of: 100 seconds,17958,5001,11.0,111.0,0.9556743512640606,22.936227110947037,32.7444880890056,41.35132555984595,-1355.628137002919,42.71675137525736,41.28673890176691,41.62344012382697,42.587842733312385,43.259042327555484,41.230582107958966,41.02871929072399
point_12_7_kam_5_chair,TRUE - Adjusted to start at + 57.0With a window length of: 100 seconds,45537,5001,57.0,157.0,0.9193183565013067,19.06201330346388,37.08659165926261,41.4893132660869,-1300.0260111973123,41.02585255181156,42.03761575018202,42.45129058522669,41.907143187254405,41.98540301038874,44.37416859816471,44.93371555618399
point_13_1_kam_5_chair,TRUE - Adjusted to start at + 57.0With a window length of: 100 seconds,26552,5001,57.0,157.0,0.8800090388671287,23.708444462314,63.79642057212254,40.65629529476628,-1358.1581102154921,40.52550367038462,44.2861143395699,40.05840462910885,42.37745063998056,41.32050314164693,40.04714160063481,40.66696953070957
point_13_2_kam_5_chair,TRUE - Adjusted to start at + 10.1With a window length of: 100 seconds,30508,5001,10.1,110.1,0.8512521305886981,23.29518215869906,51.791664354090685,41.04231657425168,-1286.198734967657,41.43340970611255,43.24388213185951,41.4031562490443,41.86991661745864,41.95096758159918,41.33775541684074,41.154182840979416
point_13_3_kam_5_chair,TRUE - Adjusted to start at + 17.2With a window length of: 100 seconds,26427,5001,17.2,117.2,0.7244106406326862,32.816074544539006,67.30056096276073,41.4575993502433,-1268.8902776181503,40.300040794223385,41.5993833470219,44.31994228615896,41.86806383945526,42.134953885260025,41.57865604612633,43.485801863523214
point_13_4_kam_5_chair,TRUE - Adjusted to start at + 11.58With a window length of: 100 seconds,30296,5001,11.58,111.58,0.9329944547134935,31.256831986069255,57.38557798198598,42.869774945473395,-1267.0333354455956,41.39992758142081,42.805752619064236,44.998640585868905,40.61235818604895,46.47145237644682,42.013812023932566,44.011148006489265
point_13_5_kam_5_chair,TRUE - Adjusted to start at + 38.5With a window length of: 100 seconds,24691,4994,38.5,138.5,0.7241099995949941,32.44740563443491,90.97752573730145,40.76307265459249,-1209.0962885712488,40.97426066195642,38.9816993187382,46.5184253977269,38.56021904218525,50.81365718519385,38.828297551556446,47.92311004480848
point_13_6_kam_5_chair,TRUE - Adjusted to start at + 24.5With a window length of: 100 seconds,23500,5001,24.5,124.5,0.8304255319148937,28.424632153393475,55.78500528662765,54.52144466893519,-1236.497114627843,43.985384425261984,42.09924321812312,44.8692718047883,44.891036393925305,43.61147454427308,42.432726098411834,43.894698872240525
point_13_7_kam_5_chair,TRUE - Adjusted to start at + 13.5With a window length of: 100 seconds,31550,5001,13.5,113.5,0.8741362916006339,28.55725711945939,54.56855344695882,44.262171317924654,-1223.7866661333858,40.64830159566923,42.74964731264879,44.72955443408421,47.138469059720194,40.47057170722532,43.90022236339343,47.35081522757265
point_14_1_kam_5_chair,TRUE - Adjusted to start at + 8.5With a window length of: 100 seconds,25618,5001,8.5,108.5,0.9456632055585916,23.305294782008833,54.372978258734356,41.64690294121676,-1359.7641377802536,40.83629981211567,41.47130690700571,41.84314847882424,45.29219893280521,41.44588895300221,41.676197529227984,41.32073376539351
point_14_2_kam_5_chair,TRUE - Adjusted to start at + 27.0With a window length of: 100 seconds,34250,5001,27.0,127.0,0.9815474452554744,16.22812255440153,46.23537088721177,42.37629594922336,-1224.4801492950435,45.41515821140265,44.078391960328844,42.86785533484992,42.36464175995181,44.15640482816988,49.539828585109184,44.14714581636046
point_14_3_kam_5_chair,TRUE - Adjusted to start at + 19.0With a window length of: 100 seconds,24450,5001,19.0,119.0,0.9580777096114519,23.279583300853993,49.52373951756889,40.815379996011096,-1177.2275783523507,43.33072758468321,41.52589463449068,40.48714154825247,44.43916077925789,42.829161853233146,41.95761135075927,40.39702813047413
point_14_4_kam_5_chair,TRUE - Adjusted to start at + 40.3With a window length of: 100 seconds,31891,5001,40.3,140.3,0.9532156407763946,27.26420319807231,65.24112298935252,42.234096677011394,-1310.6477771187203,42.028571855562404,42.83034995987208,40.56163066230202,41.20140479132837,42.73136439621963,39.92847444314123,40.15424010650006
point_14_5_kam_5_chair,TRUE - Adjusted to start at + 14.0With a window length of: 100 seconds,23400,5001,14.0,114.0,0.9079059829059829,32.434856218547615,67.05081157771511,45.153769592732544,-1387.5478875751492,46.13392256276589,43.76325957591844,50.072971438095934,43.8880668131157,45.00533193542128,45.06416379053224,42.35767236927399
